source,target,relation,weight
U0012,T01106,a_créé,1
U0095,T00852,assigné_à,1
T00048,TAG022,tagué,1
U0089,T01832,a_créé,1
T02245,TAG021,tagué,1
U0003,T03240,a_créé,1
T00075,C0026,appartient_à,1
T01885,C0042,appartient_à,1
U0032,T02116,assigné_à,1
T02011,TAG003,tagué,1
T02544,C0005,appartient_à,1
T03430,TAG025,tagué,1
U0055,T00467,a_créé,1
U0064,M00489,a_envoyé,1
T00196,TAG010,tagué,1
U0026,T01670,assigné_à,1
U0001,T00771,assigné_à,1
U0021,T01598,assigné_à,1
T00713,TAG024,tagué,1
M00149,T01216,lié_à,1
T03064,C0002,appartient_à,1
T03033,TAG009,tagué,1
T02545,TAG015,tagué,1
T00774,C0058,appartient_à,1
T01892,C0030,appartient_à,1
T02607,TAG011,tagué,1
T01027,TAG007,tagué,1
T02956,C0043,appartient_à,1
U0019,M00649,a_envoyé,1
T03384,TAG002,tagué,1
T02107,TAG002,tagué,1
U0089,T02374,a_créé,1
T03389,TAG022,tagué,1
U0070,T02048,a_créé,1
T02683,TAG010,tagué,1
U0090,T01026,assigné_à,1
T01114,C0041,appartient_à,1
U0060,T02118,assigné_à,1
M00226,T00543,lié_à,1
T01221,TAG016,tagué,1
U0042,M00972,a_envoyé,1
U0096,T03480,a_créé,1
T03138,TAG015,tagué,1
U0014,T00088,assigné_à,1
U0048,M00294,a_envoyé,1
U0035,T00197,a_créé,1
U0019,T02726,assigné_à,1
U0068,T02250,a_créé,1
T01067,TAG012,tagué,1
U0051,T02326,assigné_à,1
U0030,C0013,gère,3
T03314,C0023,appartient_à,1
U0033,T00905,assigné_à,1
U0026,T01385,a_créé,1
T00115,TAG002,tagué,1
U0051,M00299,a_envoyé,1
U0006,T01472,a_créé,1
U0028,M01146,a_envoyé,1
T00975,C0018,appartient_à,1
T00907,TAG016,tagué,1
T01584,TAG002,tagué,1
U0022,T00475,assigné_à,1
U0024,T02926,a_créé,1
T00908,TAG018,tagué,1
T01843,TAG024,tagué,1
U0091,T02688,a_créé,1
T01105,TAG019,tagué,1
U0035,M01113,a_envoyé,1
U0016,T02783,a_créé,1
T02425,TAG012,tagué,1
M00220,T03442,lié_à,1
T01259,TAG020,tagué,1
U0047,T00030,a_créé,1
M00356,T03296,lié_à,1
T02797,TAG002,tagué,1
M01074,T02004,lié_à,1
U0025,T01132,assigné_à,1
U0088,T00064,a_créé,1
U0032,T02057,assigné_à,1
U0064,T00321,a_créé,1
T00699,C0014,appartient_à,1
U0066,T02408,a_créé,1
T02423,TAG025,tagué,1
U0012,T01575,assigné_à,1
U0090,T03173,assigné_à,1
U0091,T00791,assigné_à,1
U0095,T00056,assigné_à,1
U0046,T00344,assigné_à,1
T02978,TAG023,tagué,1
U0011,T00514,assigné_à,1
U0071,T00476,a_créé,1
U0098,T00966,a_créé,1
U0094,T00299,a_créé,1
U0010,M00777,a_envoyé,1
U0045,M00413,a_envoyé,1
T01457,TAG004,tagué,1
T00292,TAG016,tagué,1
U0084,M00604,a_envoyé,1
T00511,C0054,appartient_à,1
T02931,C0005,appartient_à,1
T02944,TAG014,tagué,1
U0024,T01546,assigné_à,1
T02861,TAG022,tagué,1
U0073,T02758,a_créé,1
T01765,TAG015,tagué,1
U0086,T00674,a_créé,1
U0044,T02204,assigné_à,1
T01630,TAG007,tagué,1
U0017,M01143,a_envoyé,1
U0028,T02903,assigné_à,1
T03189,C0057,appartient_à,1
U0088,T01042,assigné_à,1
T01443,TAG018,tagué,1
U0071,T01092,a_créé,1
U0082,T02563,assigné_à,1
U0058,M00101,a_envoyé,1
U0007,T02377,a_créé,1
T00725,TAG011,tagué,1
T02788,TAG020,tagué,1
T02049,C0027,appartient_à,1
U0010,T01859,assigné_à,1
U0011,M00808,a_envoyé,1
U0036,T00918,assigné_à,1
U0035,T00831,a_créé,1
T03262,C0008,appartient_à,1
U0061,T01398,assigné_à,1
T01485,TAG016,tagué,1
U0020,M00952,a_envoyé,1
U0047,T02230,a_créé,1
T02043,TAG020,tagué,1
U0068,T02162,assigné_à,1
T03133,C0003,appartient_à,1
U0018,T01883,assigné_à,1
T02587,TAG016,tagué,1
T01635,TAG018,tagué,1
M00792,T01493,lié_à,1
T00680,TAG012,tagué,1
T02401,C0014,appartient_à,1
U0025,T03304,assigné_à,1
U0051,T01683,a_créé,1
U0085,T00436,a_créé,1
U0014,T01242,a_créé,1
T01330,TAG018,tagué,1
U0010,T02891,a_créé,1
T03221,C0053,appartient_à,1
U0078,T03365,a_créé,1
U0085,T02398,a_créé,1
T00678,TAG002,tagué,1
T02573,TAG011,tagué,1
U0075,M00481,a_envoyé,1
T00235,TAG011,tagué,1
U0006,T01795,a_créé,1
T00547,TAG006,tagué,1
U0034,T00446,assigné_à,1
U0050,T02923,assigné_à,1
T02867,C0018,appartient_à,1
T01165,C0018,appartient_à,1
U0048,T02095,a_créé,1
T01645,TAG006,tagué,1
U0037,T00639,assigné_à,1
T03214,TAG008,tagué,1
T00884,C0002,appartient_à,1
T01146,TAG013,tagué,1
U0042,C0031,gère,1
T01463,TAG021,tagué,1
U0058,T01251,assigné_à,1
M00172,T03037,lié_à,1
T02873,TAG023,tagué,1
T00534,TAG020,tagué,1
T00443,C0051,appartient_à,1
T01158,TAG009,tagué,1
U0068,C0010,gère,10
T01589,TAG021,tagué,1
M00907,T02971,lié_à,1
T01794,TAG007,tagué,1
T01318,TAG021,tagué,1
T01560,TAG006,tagué,1
T01916,TAG013,tagué,1
T00820,C0038,appartient_à,1
