id,label,type,attribute1,attribute2,attribute3
T03406,Ticket #3406 - Billing,ticket,in_progress,2026-03-06,medium
T03389,Ticket #3389 - Onboarding,ticket,closed,2025-11-19,high
M01086,Message #1086,message,inbound,2025-11-12,true
T03160,Ticket #3160 - Performance,ticket,resolved,2025-11-06,high
T00039,Ticket #39 - Bug,ticket,in_progress,2025-10-12,medium
T00564,Ticket #564 - Documentation,ticket,closed,2025-09-22,critical
M00845,Message #845,message,inbound,2025-03-20,true
T01180,Ticket #1180 - Onboarding,ticket,resolved,2026-02-02,critical
T02383,Ticket #2383 - Billing,ticket,closed,2025-08-29,high
T00728,Ticket #728 - Training,ticket,in_progress,2025-12-28,medium
T00069,Ticket #69 - Integration,ticket,open,2025-07-13,high
M00008,Message #8,message,internal_note,2025-06-08,true
T00110,Ticket #110 - Feature Request,ticket,in_progress,2025-08-27,medium
T02790,Ticket #2790 - Onboarding,ticket,in_progress,2025-04-04,medium
M00355,Message #355,message,internal_note,2025-12-12,true
M00612,Message #612,message,inbound,2025-05-09,true
M00411,Message #411,message,internal_note,2026-01-27,true
T01919,Ticket #1919 - Security,ticket,resolved,2026-01-11,medium
U0050,Mia Dupont,user,admin,2026-01-14,true
T03471,Ticket #3471 - Integration,ticket,resolved,2025-05-15,medium
T01788,Ticket #1788 - Integration,ticket,pending,2025-10-04,low
C0007,SmartEdge #7,client,pro,2024-08-26,true
U0056,Paula Richard,user,admin,2024-10-29,false
T00026,Ticket #26 - Documentation,ticket,closed,2025-03-22,critical
U0084,Charlie Faure,user,admin,2025-08-07,true
T01570,Ticket #1570 - Bug,ticket,in_progress,2026-02-08,high
T01347,Ticket #1347 - Training,ticket,in_progress,2025-10-09,high
T01152,Ticket #1152 - Security,ticket,resolved,2025-07-14,high
T01041,Ticket #1041 - Documentation,ticket,resolved,2025-05-08,low
T02189,Ticket #2189 - Documentation,ticket,closed,2025-07-27,low
T00859,Ticket #859 - Billing,ticket,open,2026-02-15,high
T02441,Ticket #2441 - Support,ticket,closed,2025-09-19,critical
T00737,Ticket #737 - Security,ticket,resolved,2025-05-14,low
T00940,Ticket #940 - Documentation,ticket,open,2026-02-26,critical
